x,y
0.000000000000000000e+00,2.014097173605642332e-01
4.216902890724554681e-02,2.770541692422060498e-01
8.433805781449109362e-02,1.934121803078971968e-01
1.265070867217366335e-01,6.350261060429129856e-03
1.686761156289821872e-01,4.933002198494520485e-01
2.108451445362277410e-01,4.060994472052377180e-01
2.530141734434732670e-01,1.556702152012371387e-01
2.951832023507188207e-01,4.190498310497465795e-01
3.373522312579643745e-01,1.777388253565188037e-01
3.795212601652099282e-01,3.199434952327089854e-01
4.216902890724554820e-01,5.579213159568758851e-01
4.638593179797010357e-01,4.164714733837542315e-01
5.060283468869465340e-01,6.435051368668442962e-01
5.481973757941921432e-01,6.255390563277694049e-01
5.903664047014376415e-01,6.098924421402293072e-01
6.325354336086832507e-01,5.407936655193246178e-01
6.747044625159287490e-01,7.766036908807546491e-01
7.168734914231742472e-01,3.567123664138791006e-01
7.590425203304198565e-01,6.339039408488313931e-01
8.012115492376653547e-01,7.110416421962757472e-01
8.433805781449109640e-01,6.076670954640249755e-01
8.855496070521564622e-01,9.770364964923459183e-01
9.277186359594020715e-01,5.785284987743736229e-01
9.698876648666475697e-01,8.912685304364367234e-01
1.012056693773893068e+00,6.288329609684077948e-01
1.054225722681138677e+00,8.282238448269675368e-01
1.096394751588384286e+00,1.024724297584148847e+00
1.138563780495629674e+00,1.075148931827290433e+00
1.180732809402875283e+00,7.272887977340225518e-01
1.222901838310120892e+00,8.577313451195214267e-01
1.265070867217366501e+00,1.032696518772290517e+00
1.307239896124611889e+00,1.095815055846054653e+00
1.349408925031857498e+00,1.214931976661784319e+00
1.391577953939103107e+00,1.215567107295891791e+00
1.433746982846348494e+00,1.033970424656060372e+00
1.475916011753594104e+00,1.294588521244555146e+00
1.518085040660839713e+00,1.074834663415255465e+00
1.560254069568085322e+00,8.098791871254478192e-01
1.602423098475330709e+00,1.032992759077349554e+00
1.644592127382576319e+00,1.400403399692367268e+00
1.686761156289821928e+00,1.005193860996616895e+00
1.728930185197067315e+00,7.868233333645696659e-01
1.771099214104312924e+00,1.179740272531788925e+00
1.813268243011558534e+00,6.086481342992546839e-01
1.855437271918804143e+00,1.062605901378895101e+00
1.897606300826049530e+00,9.809622385156699931e-01
1.939775329733295139e+00,1.156647504034142626e+00
1.981944358640540749e+00,7.021570685889539920e-01
2.024113387547786136e+00,9.180935455464533934e-01
2.066282416455031967e+00,7.603185906517424542e-01
2.108451445362277354e+00,8.555154924737500277e-01
2.150620474269522742e+00,7.977463581524274483e-01
2.192789503176768573e+00,7.094560543340717729e-01
2.234958532084013960e+00,7.489308227715119060e-01
2.277127560991259347e+00,6.198814509958930907e-01
2.319296589898505179e+00,4.568053035465081124e-01
2.361465618805750566e+00,1.070978074473821540e+00
2.403634647712995953e+00,9.727384333847934883e-01
2.445803676620241784e+00,4.557053026376434168e-02
2.487972705527487172e+00,4.723412526611863171e-01
2.530141734434733003e+00,4.149525883132090254e-01
2.572310763341978390e+00,4.663912818881901234e-01
2.614479792249223777e+00,9.229510771535349711e-01
2.656648821156469609e+00,3.682852703610879352e-01
2.698817850063714996e+00,4.322764267856794573e-01
2.740986878970960383e+00,6.255470909849178973e-01
2.783155907878206214e+00,7.739888579775248134e-01
2.825324936785451602e+00,5.987205223628303541e-01
2.867493965692696989e+00,4.800374444390565487e-01
2.909662994599942820e+00,-7.357541374354442665e-02
2.951832023507188207e+00,1.831532899051066532e-02
2.994001052414434039e+00,-1.040692726318351302e-01
3.036170081321679426e+00,3.055377146843788472e-01
3.078339110228924813e+00,-1.095563890065175128e-02
3.120508139136170644e+00,-3.756103162730237144e-02
3.162677168043416032e+00,-2.763598199189715721e-01
3.204846196950661419e+00,-5.319730645485205855e-02
3.247015225857907250e+00,-2.621686362633149914e-01
3.289184254765152637e+00,8.067065091722191994e-02
3.331353283672398025e+00,-8.155849104432499885e-01
3.373522312579643856e+00,-1.796784892181965132e-01
3.415691341486889243e+00,-4.564480352053218448e-02
3.457860370394134630e+00,-4.638129729557574077e-01
3.500029399301380462e+00,-4.567235100663766256e-01
3.542198428208625849e+00,-2.985486417834315453e-01
3.584367457115871680e+00,-4.281247779620555582e-01
3.626536486023117067e+00,-6.608560295578791433e-01
3.668705514930362455e+00,-4.365525082086079145e-01
3.710874543837608286e+00,-3.892964279903992075e-01
3.753043572744853673e+00,-8.912077818105623717e-01
3.795212601652099060e+00,-6.153581976581867785e-01
3.837381630559344892e+00,-5.959367912011950263e-01
3.879550659466590279e+00,-9.048971855216486615e-01
3.921719688373835666e+00,-8.070274621107170754e-01
3.963888717281081497e+00,-9.059969918437490444e-01
4.006057746188327329e+00,-7.894356201135699358e-01
4.048226775095572272e+00,-8.207299644819984197e-01
4.090395804002818103e+00,-9.866739987934854961e-01
4.132564832910063934e+00,-7.626697074861594761e-01
4.174733861817308878e+00,-9.309143411873154195e-01
4.216902890724554709e+00,-1.143976302568719516e+00
4.259071919631800540e+00,-6.729298083174020118e-01
4.301240948539045483e+00,-8.599453660523106446e-01
4.343409977446291315e+00,-1.022425026910229962e+00
4.385579006353537146e+00,-1.225393941676286902e+00
4.427748035260782089e+00,-9.100282836663280417e-01
4.469917064168027920e+00,-1.001803400012430956e+00
4.512086093075273752e+00,-7.769327855448532327e-01
4.554255121982518695e+00,-1.285992869863988641e+00
4.596424150889764526e+00,-9.067411291842747412e-01
4.638593179797010357e+00,-9.875033390198408867e-01
4.680762208704255301e+00,-1.254396953432788786e+00
4.722931237611501132e+00,-1.093038215438332461e+00
4.765100266518746963e+00,-1.195140123931844656e+00
4.807269295425991906e+00,-1.074639217942205294e+00
4.849438324333237738e+00,-9.701119463780878416e-01
